rfc,nombre,apaterno,amaterno,pass,mail
GORJ510210KX6,NOMBRE11,APATERNO11,AMATERNO11,pass,correo1@correo.com
GORL620111PT5,NOMBRE12,APATERNO12,AMATERNO12,pass,correo1@correo.com
GORX830712DA9,NOMBRE13,APATERNO13,AMATERNO13,pass,correo1@correo.com
GOSC800621M33,NOMBRE14,APATERNO14,AMATERNO14,pass,correo1@correo.com
GOSE720302PF8,NOMBRE15,APATERNO15,AMATERNO15,pass,correo1@correo.com
GOSL7106084B0,NOMBRE16,APATERNO16,AMATERNO16,pass,correo1@correo.com
GOTE681027K25,NOMBRE17,APATERNO17,AMATERNO17,pass,correo1@correo.com
GOVH290203UZ0,NOMBRE18,APATERNO18,AMATERNO18,pass,correo1@correo.com
GUAA680821386,NOMBRE19,APATERNO19,AMATERNO19,pass,correo1@correo.com
GUAC7607197P1,NOMBRE20,APATERNO20,AMATERNO20,pass,correo1@correo.com
