rfc,nombre,apaterno,amaterno,pass,correo
AABC600614PP5,NOMBRE1,APATERNO1,AMATERNO1,pass,correo1@correo.com
AABK810313S31,NOMBRE2,APATERNO2,AMATERNO2,pass,correo1@correo.com
AACJ521125S58,NOMBRE3,APATERNO3,AMATERNO3,pass,correo1@correo.com
AACM331122BE3,NOMBRE4,APATERNO4,AMATERNO4,pass,correo1@correo.com
AACN651007D79,NOMBRE5,APATERNO5,AMATERNO5,pass,correo1@correo.com
AACR4204067V0,NOMBRE6,APATERNO6,AMATERNO6,pass,correo1@correo.com
AADA490319HM4,NOMBRE7,APATERNO7,AMATERNO7,pass,correo1@correo.com
AADI3807107R4,NOMBRE8,APATERNO8,AMATERNO8,pass,correo1@correo.com
AAEA6308249F2,NOMBRE9,APATERNO9,AMATERNO9,pass,correo1@correo.com
AAEC7309179T7,NOMBRE10,APATERNO10,AMATERNO10,pass,correo1@correo.com
