rfc,nombre,apaterno,amaterno,pass,correo
RFC1,NOMBRE1,APATERNO1,AMATERNO1,pass,correo1@correo.com
RFC2,NOMBRE2,APATERNO2,AMATERNO2,pass,correo1@correo.com
RFC3,NOMBRE3,APATERNO3,AMATERNO3,pass,correo1@correo.com
RFC4,NOMBRE4,APATERNO4,AMATERNO4,pass,correo1@correo.com
RFC5,NOMBRE5,APATERNO5,AMATERNO5,pass,correo1@correo.com
RFC6,NOMBRE6,APATERNO6,AMATERNO6,pass,correo1@correo.com
RFC7,NOMBRE7,APATERNO7,AMATERNO7,pass,correo1@correo.com
RFC8,NOMBRE8,APATERNO8,AMATERNO8,pass,correo1@correo.com
RFC9,NOMBRE9,APATERNO9,AMATERNO9,pass,correo1@correo.com
RFC10,NOMBRE10,APATERNO10,AMATERNO10,pass,correo1@correo.com
